                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0768,                 1.1063,                0.82523,                0.94187,                0.94466,                0.98441,                 0.8013,                0.89223,                0.81595,                0.85583,               0.052504,              0.0015043,              0.0015043
                     50,                 0.8344,                 1.1041,                0.81567,                0.89952,                 0.9697,                0.98563,                0.79075,                0.93139,                0.80791,                0.85743,               0.051464,              0.0014643,              0.0014643
                     51,                0.94902,                 1.2636,                0.84375,                0.89952,                 0.9697,                0.98563,                0.79075,                0.93139,                0.80791,                0.85743,               0.050421,              0.0014214,              0.0014214
                     52,                0.98647,                 1.0523,                0.88523,                0.89952,                 0.9697,                0.98563,                0.79075,                0.93139,                0.80791,                0.85743,               0.049376,              0.0013758,              0.0013758
                     53,                0.85975,                0.93584,                0.89114,                0.86391,                0.92803,                0.98256,                0.80037,                0.87211,                0.76984,                0.85263,               0.048327,              0.0013273,              0.0013273
                     54,                 1.0376,                0.96132,                0.86062,                0.86391,                0.92803,                0.98256,                0.80037,                0.87211,                0.76984,                0.85263,               0.047276,              0.0012759,              0.0012759
                     55,                0.91803,                 1.0459,                0.89848,                0.86391,                0.92803,                0.98256,                0.80037,                0.87211,                0.76984,                0.85263,               0.046222,              0.0012218,              0.0012218
                     56,                0.99252,                 1.1125,                0.83402,                0.88679,                0.90864,                0.98256,                0.80145,                0.85834,                0.78099,                0.84637,               0.045165,              0.0011648,              0.0011648
                     57,                0.97929,                 1.0784,                0.88889,                0.88679,                0.90864,                0.98256,                0.80145,                0.85834,                0.78099,                0.84637,               0.044105,               0.001105,               0.001105
                     58,                0.90539,                  1.035,                0.86587,                0.88679,                0.90864,                0.98256,                0.80145,                0.85834,                0.78099,                0.84637,               0.043042,              0.0010423,              0.0010423
                     59,                0.84533,                0.94034,                0.86254,                0.89864,                0.90905,                0.98413,                0.80413,                0.84281,                0.75681,                0.84892,               0.041977,             0.00097687,             0.00097687
                     60,                 1.0169,                 1.2008,                0.84469,                0.89864,                0.90905,                0.98413,                0.80413,                0.84281,                0.75681,                0.84892,               0.040909,             0.00090857,             0.00090857
                     61,                0.86478,                0.94003,                0.86976,                0.89864,                0.90905,                0.98413,                0.80413,                0.84281,                0.75681,                0.84892,               0.039837,             0.00083744,             0.00083744
                     62,                 1.0195,                0.96018,                0.83146,                0.89877,                0.88636,                0.97774,                0.79833,                0.82952,                0.74854,                0.84565,               0.038763,             0.00076349,             0.00076349
                     63,                0.80622,                0.98485,                0.81831,                0.89877,                0.88636,                0.97774,                0.79833,                0.82952,                0.74854,                0.84565,               0.037687,              0.0006867,              0.0006867
                     64,                  1.007,                 1.1603,                0.82646,                0.89877,                0.88636,                0.97774,                0.79833,                0.82952,                0.74854,                0.84565,               0.036607,             0.00060709,             0.00060709
                     65,                0.91386,                 1.0559,                0.84642,                0.83327,                0.94175,                0.97774,                0.80068,                0.80568,                0.74003,                0.84057,               0.035525,             0.00052464,             0.00052464
                     66,                0.97296,                 1.0286,                0.90148,                0.83327,                0.94175,                0.97774,                0.80068,                0.80568,                0.74003,                0.84057,               0.034439,             0.00043937,             0.00043937
                     67,                0.96682,                0.94964,                0.81651,                0.83327,                0.94175,                0.97774,                0.80068,                0.80568,                0.74003,                0.84057,               0.033351,             0.00035127,             0.00035127
                     68,                0.96484,                0.95034,                0.91246,                0.83629,                0.94159,                0.97774,                0.80034,                0.80366,                 0.7327,                 0.8405,                0.03226,             0.00026034,             0.00026034
                     69,                0.83208,                 1.0885,                0.83122,                0.83629,                0.94159,                0.97774,                0.80034,                0.80366,                 0.7327,                 0.8405,               0.031167,             0.00016659,             0.00016659
